bus_id,route_id,route_nm,route_ord,node_id,ars_id,node_nm,lngt,la
b023656,109900006,도봉08,35,109900180,10843,도봉중학교후문,127.0450449,37.67111683
b023657,100100418,6011,35,161000333,92652,공항입구JC,126.5087229,37.505653
b023658,100100574,541,35,220000092,21082,과천린파밀리에,126.9798463,37.40823083
b023659,124000039,3323,35,124000461,25381,강일역3번출구,127.1772713,37.55762529
b023660,100100070,441,35,220000092,21082,과천린파밀리에,126.9798463,37.40823083
b023661,100100410,502,35,220000092,21082,과천린파밀리에,126.9798463,37.40823083
b023662,108000003,1125A,35,108000369,9306,미아사거리역.롯데백화점,127.0302283,37.61407923
b023663,100100330,6712,35,113000422,14015,홍대입구역,126.923466,37.556641
b023664,122000009,6105,35,107000082,8172,미아초교,127.0224658,37.61088662
b023665,100100282,5626,35,116000045,17131,가리봉시장,126.887123,37.48301
b023666,123000007,09-Jan,35,274109991,35998,공항출국장4.입구장진입6(경유),126.4587311,37.44825692
b023667,100100567,6701,35,168011111,42994,신공항TG(가상),126.664719,37.56990884
b023668,100100024,145,35,103000170,4272,행당신동아.행당푸르지오아파트,127.0340193,37.55614084
b023669,104000006,242,35,122000042,23142,논현아이파크,127.03592,37.511143
b023670,100100021,142,35,101000131,2236,버티고개,127.0060242,37.54780415
b023671,111000013,775,35,218000151,35233,세원마을입구,126.8868549,37.67045145
b023672,109900001,도봉01,35,109900042,10777,덕성여대후문.효문중고교앞,127.0172527,37.65277161
b023673,100100538,6018,35,167010603,41998,김포공항IC(가상),126.7926774,37.58395363
b023674,100100344,7211,35,100000068,1163,서울예술고등학교.평창동주민센터,126.9676276,37.60577876
b023675,100100421,6014,35,167010605,41996,노오지JC(가상),126.7535381,37.57019371
b023676,100100517,6030,35,167010605,41996,노오지JC(가상),126.7535381,37.57019371
b023677,100100008,103,35,112000399,13039,경찰청.동북아역사재단,126.9692243,37.56247642
b023678,120000001,N854,35,121000091,22167,강남역.강남역사거리,127.0266041,37.497784
b023679,109900004,도봉05,35,109900038,10783,우이1교,127.031755,37.643926
b023680,123000010,741,35,121000003,22003,양재역.서초문화예술회관,127.035902,37.48261
b023681,112900006,서대문11,35,112900147,13905,풍림.극동아파트,126.9495051,37.60347553
b023682,100100364,7738,35,112000070,13153,한성화교중고교.서대문소방서,126.9352093,37.57247739
b023683,100100190,2015,35,103000014,4112,성동구청,127.035915,37.563127
b023684,100100112,721,35,103000001,4001,답십리역사거리,127.0543962,37.56544961
